,0
2024-09-20,1797625.6464145612
2024-09-27,1790720.3296604748
2024-10-04,1769639.737699364
2024-10-11,1794127.0632758052
2024-10-18,1825027.7145070266
2024-10-25,1740838.5920075527
2024-11-01,1745445.4614248136
2024-11-08,1862917.0573279227
2024-11-15,1854705.3713272556
2024-11-22,1906201.3683502304
2024-11-29,1944555.2950948323
2024-12-06,1926061.801734462
2024-12-13,2008509.2506249258
2024-12-20,1999316.0907830612
2024-12-27,2001854.9184766246
2024-12-31,1975844.3202876314
2025-01-03,1978424.9039226205
2025-01-10,1954119.9621915475
2025-01-17,2021716.9957003202
2025-01-24,2044057.7198726863
2025-01-31,2059796.5310111588
2025-02-07,2094806.2932269038
2025-02-14,2178958.8394483794
2025-02-21,2284635.349215818
2025-02-28,2293964.935603986
2025-03-07,2268445.1135455403
2025-03-14,2309714.493201
2025-03-21,2295185.6056191265
2025-03-28,2268529.982956957
2025-04-04,2085671.0922666183
2025-04-11,2211179.1896114894
2025-04-17,2209738.3920492125
2025-04-25,2329573.13631099
2025-05-02,2383354.660946155
2025-05-07,2322945.3923767395
