Date,avg_mean_log_return_20d,std_mean_log_return_20d,avg_volatility_20d,positive_return_ratio_20d,Market_Regime
2020-07-14,0.001365837108090219,0.002745952619956818,0.01965283109183297,0.5516666666666666,2
2020-07-15,0.0008610753372367615,0.002271021030298927,0.019275445949215944,0.5416666666666667,2
2020-07-16,0.0010737378106935671,0.002311355178751687,0.01930916771152557,0.5566666666666668,2
2020-07-17,0.0010543762000241293,0.002321102980104561,0.01932813149026041,0.56,2
2020-07-20,0.0012185920378052504,0.002397716245505311,0.019276462557794145,0.565,2
2020-07-21,0.0014362365604984604,0.0018984765946009874,0.019395360984164785,0.5716666666666667,2
2020-07-22,0.001631986269648825,0.0019422204680521445,0.019456388311458676,0.585,2
2020-07-23,0.002529156779555995,0.0017830967844953765,0.018469695068861605,0.595,2
2020-07-24,0.0013356845356586023,0.0025099881286633247,0.01925459058333638,0.5700000000000001,2
2020-07-27,0.002845417089873845,0.0026343946983330246,0.01782438482962168,0.6,2
2020-07-28,0.0015254915100890482,0.002963127442931785,0.017381447111514584,0.5700000000000001,2
2020-07-29,0.0013100999655339773,0.0030395943574910347,0.01729212137577209,0.5566666666666666,2
2020-07-30,0.0008054122001028813,0.002936880899808017,0.01733956069138295,0.5483333333333332,2
2020-07-31,0.0004713543204995013,0.0033898716380864856,0.01780062390134416,0.5283333333333333,2
2020-08-03,7.874617944057255e-06,0.0033763594568042604,0.017691880776593265,0.515,2
2020-08-04,0.0009620002608413342,0.002880669189065027,0.017118423389428632,0.5416666666666667,2
2020-08-05,0.0013636881652564507,0.0027500152193163695,0.017709361218176362,0.5333333333333333,2
2020-08-06,0.002355577950223303,0.0029007467881441078,0.016817102549368676,0.5549999999999999,2
2020-08-07,0.001793646814881288,0.0030789158161609763,0.01646578643209704,0.5449999999999999,2
2020-08-10,0.0025612509542780417,0.00290935068631302,0.01663879245928916,0.5533333333333333,2
