Date,Ticker,MOM_1M,MOM_3M,MOM_6M,MOM_12M,VOL_1M_STD,VOL_3M_STD,SMA50,SMA200,PriceToSMA50,PriceToSMA200
2022-07-29,BA,0.14034274668526506,0.032471811939775164,-0.17485544201581352,-0.374289317809133,0.02415135965440789,0.03679624465778205,138.99380004882812,181.47490013122558,1.1461662139075888,0.8778624341073931
2022-07-29,CAT,0.08436407981638028,-0.06218980404943883,-0.056133815758506775,-0.047623562758221376,0.022848375027254553,0.024069472026419104,183.75811126708984,192.42825881958007,1.02490551431683,0.9787268392563269
2022-07-29,CRM,0.07566417522248298,-0.009303568034645859,-0.14502638754343117,-0.28228763973365306,0.0286426755029136,0.034333054745917274,170.74533233642578,216.30755844116212,1.0700777726216701,0.8446805383447039
2022-07-29,CSCO,0.06540563740293456,-0.10073304133590721,-0.16976405905775155,-0.16536089301144766,0.01248732647541012,0.025025833282567782,40.10333992004394,47.83606483459473,1.039225715420038,0.8712343346645963
2022-07-29,CVX,0.10822763626217728,0.02041790713620489,0.20914967181572378,0.511499726688955,0.024609027714565905,0.025413180694530645,140.7271206665039,126.2488729095459,1.0441490829785416,1.163892323216378
2022-07-29,DIS,0.10368626944127689,-0.08306867443483189,-0.24399897244364363,-0.5193660100216657,0.020566615911484103,0.022145251914119472,98.95000732421875,132.1298653793335,1.0591739219440413,0.7931989261708354
2022-07-29,DOW,0.023387417064705828,-0.23209132075396466,-0.1007291087534787,-0.11716267944767739,0.01632605083428679,0.020070104670634907,49.31575614929199,50.40655048370361,0.926973157082722,0.9069135208212725
2022-07-29,GS,0.09465661849736225,0.05207842797182549,-0.010674637060606982,-0.1022965170174833,0.020580797341197617,0.02151588985358565,283.7747521972656,320.2648957824707,1.090886263160973,0.966593538912765
2022-07-29,HD,0.09425731348519782,-0.029027250621262803,-0.15691474867763136,-0.06285233083753776,0.009851210331259559,0.019505174618297424,269.8763995361328,311.06495025634763,1.0391889626719468,0.9015884800022427
2022-07-29,HON,0.10544146033840936,0.01840220311598621,-0.03106581621361346,-0.17173545832354273,0.013794771008328719,0.01644071357278723,172.64636810302736,185.09515258789062,1.0517641883063165,0.9810265945548793
2022-07-29,IBM,-0.07310809104530251,-0.025090825509756765,0.010890617884187104,0.011966408672911898,0.01613808536441055,0.016656592099806633,121.6043896484375,114.58168090820313,0.9587008954256966,1.0174596525342647
2022-07-29,INTC,-0.0266317913129763,-0.24677061051223884,-0.2646863651815449,-0.36244980341873245,0.02742027032095859,0.025692760798476474,37.34858406066895,43.683915767669674,0.9157260858220209,0.7829214046370632
2022-07-29,JNJ,-0.014053576363374953,-0.04355185679114053,0.03558057684384895,0.03875668761497605,0.008658870594608485,0.01102411582174444,161.93947967529297,156.63467315673827,0.9926786278180129,1.0262980554297363
2022-07-29,JPM,0.009326818140401174,-0.05808039771536919,-0.21462000833029915,-0.2542043351305635,0.01770888669473922,0.019535522671669074,109.38183044433593,129.4278373336792,0.9802400537586965,0.828418781954568
2022-07-29,KO,0.02269582110121917,-0.02379474507057398,0.08786618220042418,0.14767602625397028,0.010745504408872047,0.015633839369245773,57.269970397949216,55.0381711769104,1.0314122784179294,1.0732360721654348
2022-07-29,MCD,0.06118018890518591,0.041004932278970285,0.06822623807604691,0.09838027136845925,0.010824272795507022,0.013951721853560108,232.1532940673828,232.82251167297363,1.065024965285712,1.0619636914765709
2022-07-29,MMM,0.0987580520524122,-0.01680785059233638,-0.15254223552746196,-0.2892187430290659,0.014275586570425849,0.01643445884026572,101.59130645751954,115.10923198699952,1.0460652306631069,0.9232198980778002
2022-07-29,MRK,-0.03486758775707706,0.016693819110378642,0.12020543192495813,0.18492446578786537,0.011991469224142149,0.013210567672545656,83.96009735107423,76.13908432006836,0.9844692677458465,1.085594032253103
2022-07-29,MSFT,0.0757476809545524,-0.028848834008290615,-0.06142804075504782,-0.012177310623451799,0.021742501480757178,0.023424289858295116,254.95834686279298,288.05197341918944,1.0758522685933287,0.9522500839456755
2022-07-29,NKE,0.10708302244398739,-0.09787003714863629,-0.2252578662718468,-0.36549938622401,0.02349970531857816,0.028288824591850257,105.55623489379883,131.70499000549316,1.0451489774885674,0.8376447313210802
2022-07-29,PG,-0.016937288124789243,-0.15596514106802367,-0.12382979090243329,0.019535542383461883,0.01729763513699472,0.017444137935576563,132.911279296875,139.62655513763428,0.9754262959938252,0.9285136106993133
2022-07-29,TRV,-0.04376677049200812,-0.08961018710075119,-0.03238513287421119,0.08571314379199431,0.01755200658629902,0.015752173703206116,157.62103576660155,156.73731231689453,0.9525585467718503,0.9579293057350968
2022-07-29,UNH,0.05034852371348243,0.03716005680163017,0.16770910198807756,0.2879503650733967,0.018425017330876998,0.018452355838790107,481.17230041503905,464.42379791259765,1.0818946941460137,1.1209110323994051
2022-07-29,V,0.061290687609836594,-0.037610028488410864,0.032034578920158006,-0.149346316422942,0.011022915630622129,0.020176606061707986,200.49551635742188,206.6288275909424,1.0357286515847666,1.0049853799526995
2022-07-29,VZ,-0.0853825448719599,-0.03423362146579872,-0.07817511348169781,-0.1438431883644232,0.019169508145791877,0.01586861237892782,41.07215705871582,41.85492790222168,0.9341068606783764,0.9166371945743997
2022-07-29,WBA,-0.031062123007981106,-0.1051507742603572,-0.21097733005793895,-0.13053603478739617,0.021117165681601227,0.021011536567810563,33.924919090271,38.18230988502503,0.9837114017313778,0.8740259510858608
2022-07-29,WMT,0.07981537624419267,-0.16439222542763152,-0.02080843942843783,-0.05915530744239115,0.02164213435108472,0.02456883984149076,40.01697608947754,44.55720586776734,1.059038266095065,0.9511258200960327
2022-08-05,AAPL,0.12345143230772783,0.056141085268768307,-0.04051923201473053,0.12430896126721426,0.016692440425007168,0.023632768364719663,144.49410217285157,156.8455736541748,1.1293117960466332,1.0403793377220714
2022-08-05,AMGN,-0.004739935990006903,0.0575339798878684,0.11106259163570598,0.08366195247083519,0.00865187234649541,0.009443113751771913,225.3099459838867,210.88579879760744,1.0024286599090007,1.0709926818427344
2022-08-05,AXP,0.11051630634877627,-0.07849783917406626,-0.14909427443274,-0.06257127462115877,0.016870752557571804,0.023552881436053625,144.82450592041016,161.9227214050293,1.049075275666229,0.9382982644643267
2022-08-05,BA,0.16475970542902188,0.09242409119936534,-0.22357975178125797,-0.3316305878604205,0.027243361174186752,0.03690863708730594,143.26780014038087,180.18150016784668,1.1519685032115972,0.9159652524392964
2022-08-05,CAT,0.03489131671756793,-0.1455517382313276,-0.06707643873472251,-0.08910291467990739,0.023746033481214245,0.024383385018415273,182.14353912353516,192.28618255615234,0.9669179578599841,0.9159153119870584
2022-08-05,CRM,0.07380459185401148,0.09868105984371403,-0.11229341972260991,-0.27578001785853706,0.027422002965564955,0.03214482690058227,173.68486907958984,213.76443107604982,1.0871242432397927,0.8832949004185695
2022-08-05,CSCO,0.04058142744347555,-0.08834758032174168,-0.1882933525758135,-0.18577891031889288,0.012678334133425628,0.023879942138622278,40.25258644104004,47.632935199737545,1.0271570968102137,0.8680071814702839
2022-08-05,CVX,0.06813776188180348,-0.07074769580057376,0.15391823365045856,0.46073790178448243,0.025405884816288287,0.025187477985456955,139.5193359375,127.36392639160157,0.9879826402450378,1.0822741241577727
2022-08-05,DIS,0.09023077628486036,-0.05456563790708282,-0.2724917953501935,-0.5051451321234287,0.022058908003717948,0.021900725173647502,99.29415573120117,130.49283866882325,1.0607754629713402,0.8071615660337226
2022-08-05,DOW,-0.015226209709215956,-0.27463601216459643,-0.15055833771346877,-0.1241300103378388,0.015984765707599363,0.019014428656625053,47.960936279296874,50.299947853088376,0.9223481130464071,0.8794577522495849
2022-08-05,GS,0.1140400508451173,0.07282370457001665,-0.05786023346047779,-0.11618503714942129,0.019823468467649485,0.020059383520484846,285.9443518066406,318.80057830810546,1.086765710314498,0.9747614582468955
2022-08-05,HD,0.07717019754947678,0.04105610605187227,-0.15149250720705765,-0.05139027532617759,0.010834355497880395,0.017391853564148515,271.82747619628907,310.19120147705075,1.061728110039134,0.9304160504370271
2022-08-05,HON,0.10105309210493593,-0.023592742492446785,0.013368184571376843,-0.15975749992740843,0.013855090371667739,0.014505118239439816,172.6748617553711,184.51146659851074,1.0505524956782841,0.9831584470180131
2022-08-05,IBM,-0.06112176196386132,-0.013577163302562393,-0.015195387312288136,0.018904394327504133,0.014867732172773148,0.015664229019369317,121.68033325195313,114.59754207611084,0.9704826606608398,1.0304641044222713
2022-08-05,INTC,-0.06478937027162601,-0.22125968417050676,-0.28508068157958216,-0.388078142910631,0.02679719646511663,0.023477140731254023,36.8131462097168,43.29274974822998,0.9146469513930559,0.7777522136551498
2022-08-05,JNJ,-0.04228192754854523,-0.026080747614927246,0.003207286607750872,0.01029208763888976,0.009058533972424938,0.010705058660489805,161.57878967285157,156.98067176818847,0.9754549084409325,1.0040269398201656
2022-08-05,JPM,0.009024647863504077,-0.05931029582302859,-0.23421992863000754,-0.2517229219503875,0.01780465179355576,0.018758856194331056,108.76820541381836,128.31382522583007,0.9891882590242619,0.8385084893317446
2022-08-05,KO,0.0074431829213313806,-0.010473056416489514,0.04314869686960912,0.14497610799225108,0.009217541794889539,0.014752444954284006,57.49617462158203,55.28561225891113,1.014706722617867,1.0552791681153237
2022-08-05,MCD,0.02456357051406593,0.046111036487616906,0.005650014602682378,0.11417618704962827,0.010172817210293778,0.012813514699379388,234.7301644897461,233.35178977966308,1.0367753226161633,1.0428994019989768
2022-08-05,MMM,0.12529896272988386,-0.0037559808375058983,-0.08934872670445297,-0.25865350198094883,0.015788099006480972,0.015377160237010858,101.52854064941407,114.53582168579102,1.0771836443556988,0.9548530914884863
2022-08-05,MRK,-0.06209735178694651,0.001310120160888016,0.11804198764672125,0.18065688370530342,0.011486530339603219,0.013119471154146831,83.50795028686524,76.39803791046143,0.9684171255191808,1.0585419650382255
2022-08-05,MSFT,0.05265046217449896,0.02217489519193554,-0.058419779212332455,-0.014963244879686477,0.02228005635022664,0.021886466398049108,257.33864227294924,287.5267463684082,1.0741399821181512,0.9613635187009725
2022-08-05,NKE,0.051723435309780144,-0.038477319972200025,-0.23905806727427495,-0.41493701623892687,0.02239329806107298,0.027033159357841542,106.13806427001953,130.67371536254882,1.0299228556817508,0.8365417478658542
